pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,LEC,Ferrari,16,49,98.913,98.951,97.834,0.605,0.0
2,SAI,Ferrari,55,49,99.068,98.96,97.763,0.81,0.155
3,VER,Red Bull Racing,1,49,99.271,99.067,98.117,0.698,0.358
4,NOR,McLaren,4,49,99.169,99.194,97.679,0.961,0.256
5,PIA,McLaren,81,50,99.356,99.378,97.883,1.125,0.443
6,PER,Red Bull Racing,11,49,100.025,99.739,98.514,1.07,1.112
7,RUS,Mercedes,63,49,99.81,99.888,97.656,1.445,0.897
8,HUL,Haas F1 Team,27,50,100.094,99.978,98.404,1.249,1.181
9,MAG,Haas F1 Team,20,47,100.069,100.25,98.21,1.14,1.156
10,LAW,RB,30,49,100.225,100.484,98.091,1.343,1.312
11,COL,Williams,43,50,100.317,100.493,97.611,1.578,1.404
12,ALO,Aston Martin,14,49,100.9,100.61,99.261,1.102,1.987
13,GAS,Alpine,10,50,100.5,100.685,98.311,1.007,1.587
14,TSU,RB,22,48,100.638,100.86,99.193,0.944,1.725
15,STR,Aston Martin,18,48,101.022,100.931,99.214,1.108,2.109
16,BOT,Kick Sauber,77,49,101.497,101.138,100.575,0.98,2.584
17,OCO,Alpine,31,47,101.011,101.361,97.33,1.163,2.098
18,ZHO,Kick Sauber,24,48,101.45,101.382,99.272,2.084,2.537
19,ALB,Williams,23,48,101.121,101.425,99.084,1.376,2.208
20,HAM,Mercedes,44,1,108.064,108.064,108.064,0.0,9.151
