stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,BEA,Haas F1 Team,MEDIUM,5.0,41.0,43.0,3,89.27,89.149,87.603
2,PIA,McLaren,INTERMEDIATE,4.0,8.0,33.0,26,90.385,90.151,87.916
3,OCO,Haas F1 Team,MEDIUM,5.0,41.0,45.0,5,90.888,89.339,86.764
4,VER,Red Bull Racing,INTERMEDIATE,4.0,7.0,33.0,27,92.668,90.978,88.046
5,RUS,Mercedes,INTERMEDIATE,4.0,7.0,33.0,27,93.111,91.315,89.041
6,ANT,Mercedes,INTERMEDIATE,4.0,7.0,32.0,26,93.647,91.914,89.032
7,NOR,McLaren,INTERMEDIATE,4.0,6.0,33.0,28,93.755,90.23,87.495
8,ALO,Aston Martin,INTERMEDIATE,4.0,7.0,32.0,26,93.775,92.533,88.819
9,HAM,Ferrari,INTERMEDIATE,4.0,7.0,32.0,26,93.789,92.545,89.737
10,ALB,Williams,INTERMEDIATE,4.0,7.0,32.0,26,93.819,92.41,89.628
11,GAS,Alpine,INTERMEDIATE,4.0,7.0,32.0,26,93.819,92.441,89.299
12,TSU,Racing Bulls,INTERMEDIATE,4.0,7.0,32.0,26,93.887,92.284,90.031
13,STR,Aston Martin,INTERMEDIATE,4.0,7.0,32.0,26,94.196,92.612,90.657
14,HUL,Kick Sauber,INTERMEDIATE,4.0,7.0,32.0,26,94.452,93.566,90.071
15,BOR,Kick Sauber,INTERMEDIATE,4.0,7.0,32.0,26,94.508,93.521,89.83
16,LAW,Red Bull Racing,INTERMEDIATE,4.0,7.0,32.0,26,94.721,93.56,90.803
17,LEC,Ferrari,INTERMEDIATE,4.0,6.0,33.0,28,95.01,91.839,89.337
18,LEC,Ferrari,INTERMEDIATE,6.0,51.0,57.0,7,96.99,91.082,89.801
19,TSU,Racing Bulls,INTERMEDIATE,6.0,51.0,57.0,7,98.141,92.363,91.511
20,BEA,Haas F1 Team,INTERMEDIATE,4.0,7.0,38.0,30,99.168,94.08,91.257
21,OCO,Haas F1 Team,INTERMEDIATE,4.0,7.0,38.0,30,99.222,93.944,91.155
22,VER,Red Bull Racing,INTERMEDIATE,6.0,48.0,57.0,8,99.246,89.98,87.4
23,BEA,Haas F1 Team,INTERMEDIATE,6.0,46.0,57.0,11,99.353,93.258,90.226
24,LAW,Red Bull Racing,MEDIUM,5.0,35.0,46.0,10,99.879,94.447,82.97
25,NOR,McLaren,INTERMEDIATE,6.0,46.0,57.0,10,101.389,91.024,87.126
26,RUS,Mercedes,INTERMEDIATE,6.0,46.0,57.0,10,101.516,91.524,89.117
27,ALB,Williams,INTERMEDIATE,6.0,46.0,57.0,10,101.851,92.356,89.944
28,OCO,Haas F1 Team,INTERMEDIATE,6.0,48.0,57.0,10,102.025,96.664,90.924
29,PIA,McLaren,INTERMEDIATE,6.0,46.0,57.0,12,102.643,98.832,88.559
30,HAM,Ferrari,INTERMEDIATE,6.0,50.0,57.0,8,102.768,92.728,89.874
31,ANT,Mercedes,INTERMEDIATE,6.0,46.0,57.0,11,104.78,91.398,88.149
32,HUL,Kick Sauber,INTERMEDIATE,6.0,46.0,57.0,11,105.366,91.815,90.36
33,STR,Aston Martin,INTERMEDIATE,6.0,46.0,57.0,11,105.47,92.361,90.323
34,GAS,Alpine,INTERMEDIATE,6.0,48.0,57.0,9,105.485,94.967,90.866
35,HAM,Ferrari,HARD,5.0,35.0,46.0,11,106.814,102.431,84.218
36,GAS,Alpine,HARD,5.0,35.0,45.0,10,107.67,103.576,85.02
37,BOR,Kick Sauber,MEDIUM,5.0,35.0,43.0,8,108.074,100.53,84.192
38,LEC,Ferrari,HARD,5.0,36.0,46.0,10,109.058,99.418,85.271
39,TSU,Racing Bulls,MEDIUM,5.0,35.0,46.0,12,110.049,101.67,84.194
40,VER,Red Bull Racing,MEDIUM,5.0,36.0,45.0,9,110.947,116.334,83.081
41,STR,Aston Martin,HARD,5.0,35.0,43.0,8,111.294,114.782,85.538
42,HUL,Kick Sauber,MEDIUM,5.0,35.0,43.0,9,113.442,120.019,85.243
43,ANT,Mercedes,HARD,5.0,35.0,43.0,9,114.799,126.22,84.901
44,ALB,Williams,MEDIUM,5.0,35.0,43.0,9,114.988,127.143,84.597
45,RUS,Mercedes,HARD,5.0,36.0,43.0,7,115.693,131.214,85.065
46,PIA,McLaren,HARD,5.0,36.0,43.0,6,116.564,132.114,83.242
47,NOR,McLaren,INTERMEDIATE,1.0,1.0,1.0,1,117.099,117.099,117.099
48,NOR,McLaren,HARD,5.0,36.0,43.0,6,117.636,133.816,82.167
49,VER,Red Bull Racing,INTERMEDIATE,1.0,1.0,1.0,1,119.392,119.392,119.392
50,PIA,McLaren,INTERMEDIATE,1.0,1.0,1.0,1,120.807,120.807,120.807
51,RUS,Mercedes,INTERMEDIATE,1.0,1.0,1.0,1,124.644,124.644,124.644
52,LEC,Ferrari,INTERMEDIATE,1.0,1.0,1.0,1,128.48,128.48,128.48
53,TSU,Racing Bulls,INTERMEDIATE,1.0,1.0,1.0,1,130.655,130.655,130.655
54,ALB,Williams,INTERMEDIATE,1.0,1.0,1.0,1,132.195,132.195,132.195
55,HAM,Ferrari,INTERMEDIATE,1.0,1.0,1.0,1,132.883,132.883,132.883
56,GAS,Alpine,INTERMEDIATE,1.0,1.0,1.0,1,134.132,134.132,134.132
57,STR,Aston Martin,INTERMEDIATE,1.0,1.0,1.0,1,139.485,139.485,139.485
