Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
PIA,81,McLaren,1.0,0 days 00:01:38.693000,98.693,,0 days 00:00:42.130000,0 days 00:00:23.956000,SOFT,4.0,1.0,,,1.0,False,1
RUS,63,Mercedes,1.0,0 days 00:01:39.582000,99.582,,0 days 00:00:42.305000,0 days 00:00:23.820000,SOFT,4.0,1.0,,,2.0,False,1
NOR,4,McLaren,1.0,0 days 00:01:40.424000,100.424,,0 days 00:00:42.491000,0 days 00:00:23.969000,SOFT,4.0,1.0,,,3.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:41.332000,101.332,,0 days 00:00:43.164000,0 days 00:00:24.036000,MEDIUM,1.0,1.0,,,4.0,False,1
GAS,10,Alpine,1.0,0 days 00:01:42.050000,102.05,,0 days 00:00:42.900000,0 days 00:00:24.192000,SOFT,4.0,1.0,,,5.0,False,1
SAI,55,Williams,1.0,0 days 00:01:42.770000,102.77,,0 days 00:00:43.370000,0 days 00:00:24.064000,SOFT,4.0,1.0,,,6.0,False,1
ANT,12,Mercedes,1.0,0 days 00:01:43.363000,103.363,,0 days 00:00:44.112000,0 days 00:00:24.317000,SOFT,4.0,1.0,,,7.0,False,1
VER,1,Red Bull Racing,1.0,0 days 00:01:43.877000,103.877,,0 days 00:00:43.964000,0 days 00:00:24.393000,SOFT,4.0,1.0,,,8.0,False,1
HAM,44,Ferrari,1.0,0 days 00:01:44.568000,104.568,,0 days 00:00:44.052000,0 days 00:00:24.672000,MEDIUM,1.0,1.0,,,9.0,False,1
TSU,22,Red Bull Racing,1.0,0 days 00:01:44.935000,104.935,,0 days 00:00:43.866000,0 days 00:00:24.626000,SOFT,4.0,1.0,,,10.0,False,1
DOO,7,Alpine,1.0,0 days 00:01:45.172000,105.172,,0 days 00:00:43.936000,0 days 00:00:24.529000,SOFT,1.0,1.0,,,11.0,False,1
ALO,14,Aston Martin,1.0,0 days 00:01:45.786000,105.786,,0 days 00:00:44.353000,0 days 00:00:24.669000,MEDIUM,1.0,1.0,,,12.0,False,1
OCO,31,Haas F1 Team,1.0,0 days 00:01:46.156000,106.156,,0 days 00:00:44.392000,0 days 00:00:24.711000,SOFT,1.0,1.0,,,13.0,False,1
ALB,23,Williams,1.0,0 days 00:01:46.629000,106.629,,0 days 00:00:44.973000,0 days 00:00:24.627000,SOFT,1.0,1.0,,,14.0,False,1
BEA,87,Haas F1 Team,1.0,0 days 00:01:46.874000,106.874,,0 days 00:00:44.929000,0 days 00:00:24.432000,SOFT,1.0,1.0,,,15.0,False,1
HAD,6,Racing Bulls,1.0,0 days 00:01:48.113000,108.113,,0 days 00:00:46.177000,0 days 00:00:24.661000,SOFT,1.0,1.0,,,16.0,False,1
LAW,30,Racing Bulls,1.0,0 days 00:01:48.467000,108.467,,0 days 00:00:45.461000,0 days 00:00:25.158000,MEDIUM,1.0,1.0,,,17.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:48.838000,108.838,,0 days 00:00:45.459000,0 days 00:00:25.112000,SOFT,1.0,1.0,,,18.0,False,1
BOR,5,Kick Sauber,1.0,0 days 00:01:49.307000,109.307,,0 days 00:00:45.871000,0 days 00:00:25.386000,MEDIUM,1.0,1.0,,,19.0,False,1
HUL,27,Kick Sauber,1.0,0 days 00:01:49.482000,109.482,,0 days 00:00:45.950000,0 days 00:00:25.269000,SOFT,1.0,1.0,,,20.0,False,1
PIA,81,McLaren,2.0,0 days 00:01:37.492000,97.492,0 days 00:00:31.139000,0 days 00:00:42.343000,0 days 00:00:24.010000,SOFT,5.0,1.0,,,1.0,True,1
RUS,63,Mercedes,2.0,0 days 00:01:37.817000,97.817,0 days 00:00:31.075000,0 days 00:00:42.830000,0 days 00:00:23.912000,SOFT,5.0,1.0,,,2.0,True,1
NOR,4,McLaren,2.0,0 days 00:01:37.910000,97.91,0 days 00:00:31.193000,0 days 00:00:42.593000,0 days 00:00:24.124000,SOFT,5.0,1.0,,,3.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:38.048000,98.048,0 days 00:00:31.404000,0 days 00:00:42.615000,0 days 00:00:24.029000,MEDIUM,2.0,1.0,,,4.0,True,1
GAS,10,Alpine,2.0,0 days 00:01:38.064000,98.064,0 days 00:00:31.421000,0 days 00:00:42.439000,0 days 00:00:24.204000,SOFT,5.0,1.0,,,5.0,True,1
SAI,55,Williams,2.0,0 days 00:01:38.185000,98.185,0 days 00:00:31.186000,0 days 00:00:42.797000,0 days 00:00:24.202000,SOFT,5.0,1.0,,,6.0,True,1
ANT,12,Mercedes,2.0,0 days 00:01:38.187000,98.187,0 days 00:00:31.202000,0 days 00:00:42.869000,0 days 00:00:24.116000,SOFT,5.0,1.0,,,7.0,True,1
VER,1,Red Bull Racing,2.0,0 days 00:01:38.403000,98.403,0 days 00:00:31.183000,0 days 00:00:42.971000,0 days 00:00:24.249000,SOFT,5.0,1.0,,,8.0,True,1
