Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALO,Aston Martin,11,12,INTERMEDIATE,MEDIUM
GAS,Alpine,11,12,INTERMEDIATE,MEDIUM
HAM,Ferrari,11,12,INTERMEDIATE,MEDIUM
HUL,Kick Sauber,11,12,INTERMEDIATE,MEDIUM
ALB,Williams,12,13,INTERMEDIATE,MEDIUM
ANT,Mercedes,12,13,INTERMEDIATE,MEDIUM
BEA,Haas F1 Team,12,13,MEDIUM,MEDIUM
BOR,Kick Sauber,12,13,INTERMEDIATE,MEDIUM
COL,Alpine,12,13,INTERMEDIATE,MEDIUM
LAW,Racing Bulls,12,13,INTERMEDIATE,MEDIUM
LEC,Ferrari,12,13,INTERMEDIATE,MEDIUM
PIA,McLaren,12,13,INTERMEDIATE,MEDIUM
RUS,Mercedes,12,13,INTERMEDIATE,MEDIUM
SAI,Williams,12,13,INTERMEDIATE,MEDIUM
STR,Aston Martin,12,13,INTERMEDIATE,MEDIUM
VER,Red Bull Racing,12,13,INTERMEDIATE,MEDIUM
HAD,Racing Bulls,13,14,INTERMEDIATE,MEDIUM
NOR,McLaren,13,14,INTERMEDIATE,HARD
OCO,Haas F1 Team,13,14,INTERMEDIATE,MEDIUM
TSU,Red Bull Racing,13,14,INTERMEDIATE,MEDIUM
HAD,Racing Bulls,20,21,MEDIUM,HARD
SAI,Williams,26,27,MEDIUM,HARD
COL,Alpine,28,29,MEDIUM,None
ALO,Aston Martin,29,30,MEDIUM,None
ANT,Mercedes,30,31,MEDIUM,None
HUL,Kick Sauber,32,33,MEDIUM,None
