pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,PIA,McLaren,81,39,101.879,101.663,89.337,8.705,0.0
2,NOR,McLaren,4,39,102.172,101.925,89.734,9.04,0.293
3,HAM,Ferrari,44,40,104.311,103.307,90.016,11.064,2.432
4,HUL,Kick Sauber,27,39,103.515,103.475,90.933,9.416,1.636
5,STR,Aston Martin,18,38,103.378,103.59,92.088,8.479,1.499
6,RUS,Mercedes,63,39,104.502,103.869,90.869,10.901,2.623
7,BEA,Haas F1 Team,87,39,105.124,103.937,90.921,11.363,3.245
8,LEC,Ferrari,16,39,104.912,104.096,90.819,11.113,3.033
9,ALO,Aston Martin,14,40,104.891,104.22,90.353,11.223,3.012
10,OCO,Haas F1 Team,31,41,105.125,104.235,90.818,10.4,3.246
11,GAS,Alpine,10,40,104.736,104.236,90.751,10.713,2.857
12,VER,Red Bull Racing,1,39,103.189,104.243,90.179,8.966,1.31
13,ALB,Williams,23,40,104.948,104.362,90.047,10.771,3.069
14,SAI,Williams,55,40,105.514,104.444,90.645,10.938,3.635
15,TSU,Red Bull Racing,22,39,106.559,104.939,90.873,10.68,4.68
16,ANT,Mercedes,12,12,118.789,115.518,105.576,11.051,16.91
17,HAD,Racing Bulls,6,11,120.454,117.216,101.705,14.279,18.575
18,BOR,Kick Sauber,5,2,136.95,136.95,136.121,1.173,35.071
