Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
PIA,81,McLaren,1.0,0 days 00:01:38.344000,98.344,,0 days 00:00:28.932000,0 days 00:00:41.859000,MEDIUM,1.0,1.0,,,1.0,False,12
NOR,4,McLaren,1.0,0 days 00:01:39.268000,99.268,,0 days 00:00:29.650000,0 days 00:00:41.800000,MEDIUM,1.0,1.0,,,2.0,False,12
RUS,63,Mercedes,1.0,0 days 00:01:40.282000,100.282,,0 days 00:00:30.020000,0 days 00:00:42.264000,MEDIUM,1.0,1.0,,,3.0,False,12
HAM,44,Ferrari,1.0,0 days 00:01:40.792000,100.792,,0 days 00:00:30.143000,0 days 00:00:42.199000,MEDIUM,1.0,1.0,,,4.0,False,12
LEC,16,Ferrari,1.0,0 days 00:01:41.763000,101.763,,0 days 00:00:30.463000,0 days 00:00:42.227000,MEDIUM,1.0,1.0,,,5.0,False,12
VER,1,Red Bull Racing,1.0,0 days 00:01:42.249000,102.249,,0 days 00:00:30.530000,0 days 00:00:42.425000,MEDIUM,1.0,1.0,,,6.0,False,12
ANT,12,Mercedes,1.0,0 days 00:01:43.008000,103.008,,0 days 00:00:30.674000,0 days 00:00:42.716000,MEDIUM,1.0,1.0,,,7.0,False,12
TSU,22,Racing Bulls,1.0,0 days 00:01:43.656000,103.656,,0 days 00:00:31.071000,0 days 00:00:42.643000,MEDIUM,1.0,1.0,,,8.0,False,12
HAD,6,Racing Bulls,1.0,0 days 00:01:44.196000,104.196,,0 days 00:00:31.293000,0 days 00:00:43.132000,MEDIUM,1.0,1.0,,,9.0,False,12
OCO,31,Haas F1 Team,1.0,0 days 00:01:44.831000,104.831,,0 days 00:00:31.062000,0 days 00:00:43.643000,MEDIUM,1.0,1.0,,,10.0,False,12
ALB,23,Williams,1.0,0 days 00:01:45.273000,105.273,,0 days 00:00:31.861000,0 days 00:00:43.138000,MEDIUM,1.0,1.0,,,11.0,False,12
ALO,14,Aston Martin,1.0,0 days 00:01:45.761000,105.761,,0 days 00:00:31.518000,0 days 00:00:43.687000,MEDIUM,6.0,1.0,,,12.0,False,12
