stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,HAM,Ferrari,MEDIUM,2.0,31.0,45.0,15,80.409,80.254,79.473
2,VER,Red Bull Racing,HARD,2.0,31.0,45.0,15,81.049,79.79,79.513
3,ANT,Mercedes,MEDIUM,2.0,32.0,44.0,13,81.137,81.019,80.62
4,HAD,Racing Bulls,HARD,2.0,31.0,45.0,15,81.267,80.944,80.295
5,VER,Red Bull Racing,MEDIUM,1.0,1.0,28.0,28,81.313,81.254,80.856
6,LEC,Ferrari,HARD,2.0,12.0,28.0,17,81.407,81.154,80.505
7,PIA,McLaren,MEDIUM,1.0,1.0,12.0,12,81.628,81.376,81.096
8,NOR,McLaren,MEDIUM,1.0,1.0,27.0,27,81.665,81.347,80.829
9,RUS,Mercedes,HARD,2.0,13.0,28.0,16,81.708,81.606,81.334
10,SAI,Williams,HARD,2.0,13.0,28.0,16,81.938,81.891,81.268
11,GAS,Alpine,HARD,2.0,11.0,28.0,18,82.166,82.255,81.243
12,RUS,Mercedes,MEDIUM,1.0,1.0,10.0,10,82.189,81.726,81.385
13,BOR,Kick Sauber,HARD,3.0,31.0,45.0,15,82.21,81.213,81.039
14,ALB,Williams,MEDIUM,1.0,1.0,28.0,28,82.222,81.964,81.583
15,LAW,Racing Bulls,HARD,2.0,12.0,28.0,17,82.222,82.154,81.245
16,ANT,Mercedes,HARD,1.0,3.0,28.0,26,82.261,82.325,81.239
17,BOR,Kick Sauber,HARD,2.0,14.0,28.0,15,82.291,82.256,81.886
18,OCO,Haas F1 Team,HARD,2.0,3.0,27.0,23,82.318,82.396,81.413
19,SAI,Williams,MEDIUM,1.0,1.0,10.0,10,82.41,81.9,81.38
20,ALO,Aston Martin,MEDIUM,1.0,1.0,11.0,11,82.486,81.947,81.401
21,NOR,McLaren,HARD,2.0,30.0,45.0,16,82.515,79.799,79.466
22,HAD,Racing Bulls,MEDIUM,1.0,1.0,28.0,28,82.526,82.316,81.233
23,HAM,Ferrari,HARD,1.0,1.0,28.0,28,82.592,82.391,81.23
24,STR,Aston Martin,MEDIUM,1.0,1.0,13.0,13,82.603,82.084,81.527
25,LEC,Ferrari,MEDIUM,1.0,1.0,9.0,9,82.609,81.713,81.428
26,TSU,Red Bull Racing,HARD,1.0,2.0,28.0,27,82.639,82.527,81.993
27,ALB,Williams,HARD,2.0,31.0,46.0,16,82.711,80.693,80.384
28,PIA,McLaren,HARD,2.0,15.0,29.0,15,82.716,81.403,80.698
29,HUL,Kick Sauber,HARD,1.0,1.0,28.0,28,82.857,82.432,81.922
30,BEA,Haas F1 Team,HARD,1.0,1.0,28.0,28,82.913,82.534,81.885
31,BOR,Kick Sauber,MEDIUM,1.0,1.0,11.0,11,82.991,82.237,81.582
32,COL,Alpine,MEDIUM,1.0,1.0,21.0,21,83.088,82.606,81.914
33,LAW,Racing Bulls,MEDIUM,1.0,1.0,9.0,9,83.271,82.111,81.798
34,GAS,Alpine,MEDIUM,1.0,1.0,8.0,8,83.272,82.194,81.541
35,BEA,Haas F1 Team,HARD,3.0,33.0,63.0,28,84.489,80.371,79.521
36,ALO,Aston Martin,HARD,2.0,14.0,45.0,32,84.51,82.353,81.367
37,STR,Aston Martin,HARD,2.0,16.0,45.0,30,84.656,82.324,81.553
38,COL,Alpine,HARD,2.0,24.0,45.0,22,85.134,82.001,80.798
39,COL,Alpine,HARD,3.0,48.0,63.0,13,85.431,80.911,80.345
40,ALO,Aston Martin,MEDIUM,3.0,48.0,63.0,13,85.45,80.307,79.894
41,STR,Aston Martin,MEDIUM,3.0,48.0,63.0,13,85.494,80.926,80.501
42,SAI,Williams,HARD,3.0,31.0,63.0,30,85.672,81.11,79.836
43,BOR,Kick Sauber,MEDIUM,4.0,48.0,63.0,13,85.688,81.351,80.63
44,LAW,Racing Bulls,HARD,3.0,31.0,63.0,30,85.719,81.117,80.473
45,RUS,Mercedes,HARD,3.0,31.0,63.0,30,85.722,80.517,79.733
46,GAS,Alpine,HARD,3.0,31.0,63.0,30,85.73,81.213,80.398
47,LEC,Ferrari,HARD,3.0,31.0,63.0,30,85.786,80.356,79.048
48,PIA,McLaren,HARD,3.0,32.0,63.0,29,85.802,79.743,78.894
49,ALB,Williams,HARD,3.0,49.0,63.0,12,85.937,80.193,78.289
50,TSU,Red Bull Racing,MEDIUM,2.0,31.0,63.0,30,85.95,81.278,80.039
51,HUL,Kick Sauber,MEDIUM,2.0,31.0,63.0,30,86.257,81.614,80.401
52,HAM,Ferrari,HARD,3.0,48.0,63.0,13,86.452,79.731,78.265
53,HAD,Racing Bulls,HARD,3.0,48.0,63.0,13,86.593,80.375,79.473
54,NOR,McLaren,HARD,3.0,48.0,63.0,13,87.888,78.864,78.311
55,VER,Red Bull Racing,HARD,3.0,49.0,63.0,13,88.551,78.439,77.988
