Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
LAW,Racing Bulls,9,10.0,SOFT,HARD
BEA,Haas F1 Team,18,19.0,MEDIUM,HARD
TSU,Red Bull Racing,19,20.0,MEDIUM,HARD
ALO,Aston Martin,20,21.0,MEDIUM,HARD
BOR,Kick Sauber,20,21.0,MEDIUM,HARD
ALO,Aston Martin,24,,HARD,
RUS,Mercedes,27,28.0,MEDIUM,HARD
ANT,Mercedes,28,29.0,MEDIUM,HARD
SAI,Williams,30,31.0,MEDIUM,HARD
HAD,Racing Bulls,32,33.0,HARD,MEDIUM
COL,Alpine,33,34.0,MEDIUM,HARD
LEC,Ferrari,33,34.0,MEDIUM,HARD
VER,Red Bull Racing,37,38.0,MEDIUM,HARD
HAM,Ferrari,38,39.0,MEDIUM,HARD
ALB,Williams,41,42.0,HARD,MEDIUM
PIA,McLaren,45,46.0,MEDIUM,SOFT
NOR,McLaren,46,47.0,MEDIUM,SOFT
GAS,Alpine,49,50.0,HARD,SOFT
STR,Aston Martin,49,50.0,HARD,SOFT
OCO,Haas F1 Team,51,52.0,HARD,SOFT
