Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
STR,Aston Martin,9,10,SOFT,HARD
DOO,Alpine,15,16,SOFT,HARD
RUS,Mercedes,19,20,MEDIUM,HARD
PIA,McLaren,20,21,MEDIUM,HARD
LEC,Ferrari,21,22,MEDIUM,HARD
NOR,McLaren,21,22,MEDIUM,HARD
VER,Red Bull Racing,21,22,MEDIUM,HARD
HUL,Kick Sauber,22,23,MEDIUM,HARD
BEA,Haas F1 Team,23,24,MEDIUM,HARD
TSU,Red Bull Racing,23,24,MEDIUM,HARD
ALB,Williams,24,25,MEDIUM,HARD
ALO,Aston Martin,24,25,MEDIUM,HARD
GAS,Alpine,24,25,MEDIUM,HARD
HAD,Racing Bulls,25,26,MEDIUM,HARD
HAM,Ferrari,30,31,HARD,MEDIUM
STR,Aston Martin,30,31,HARD,MEDIUM
ANT,Mercedes,31,32,MEDIUM,HARD
BOR,Kick Sauber,31,32,HARD,MEDIUM
OCO,Haas F1 Team,32,33,HARD,MEDIUM
LAW,Racing Bulls,33,34,MEDIUM,SOFT
SAI,Williams,33,34,MEDIUM,SOFT
