Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
NOR,4,McLaren,1.0,0 days 00:01:24.735000,84.735,,0 days 00:00:32.159000,0 days 00:00:20.902000,SOFT,1.0,1.0,,,1.0,False,1
LEC,16,Ferrari,1.0,0 days 00:01:26.403000,86.403,,0 days 00:00:33.579000,0 days 00:00:21.305000,SOFT,1.0,1.0,,,2.0,False,1
HAM,44,Ferrari,1.0,0 days 00:01:27.187000,87.187,,0 days 00:00:33.524000,0 days 00:00:21.434000,SOFT,4.0,1.0,,,3.0,False,1
VER,1,Red Bull Racing,1.0,0 days 00:01:27.817000,87.817,,0 days 00:00:34.363000,0 days 00:00:21.461000,MEDIUM,1.0,1.0,,,4.0,False,1
RUS,63,Mercedes,1.0,0 days 00:01:28.429000,88.429,,0 days 00:00:34.416000,0 days 00:00:21.496000,SOFT,4.0,1.0,,,5.0,False,1
BEA,87,Haas F1 Team,1.0,0 days 00:01:28.984000,88.984,,0 days 00:00:34.608000,0 days 00:00:21.665000,SOFT,4.0,1.0,,,6.0,False,1
ANT,12,Mercedes,1.0,0 days 00:01:29.572000,89.572,,0 days 00:00:34.991000,0 days 00:00:21.732000,SOFT,4.0,1.0,,,7.0,False,1
TSU,22,Red Bull Racing,1.0,0 days 00:01:30.188000,90.188,,0 days 00:00:34.742000,0 days 00:00:21.981000,MEDIUM,1.0,1.0,,,8.0,False,1
PIA,81,McLaren,1.0,0 days 00:01:30.649000,90.649,,0 days 00:00:34.398000,0 days 00:00:22.103000,SOFT,4.0,1.0,,,9.0,False,1
OCO,31,Haas F1 Team,1.0,0 days 00:01:31.068000,91.068,,0 days 00:00:34.492000,0 days 00:00:22.147000,SOFT,1.0,1.0,,,10.0,False,1
HAD,6,Racing Bulls,1.0,0 days 00:01:31.619000,91.619,,0 days 00:00:35.981000,0 days 00:00:22.347000,MEDIUM,1.0,1.0,,,11.0,False,1
SAI,55,Williams,1.0,0 days 00:01:32.118000,92.118,,0 days 00:00:35.753000,0 days 00:00:22.332000,MEDIUM,1.0,1.0,,,12.0,False,1
BOR,5,Kick Sauber,1.0,0 days 00:01:32.601000,92.601,,0 days 00:00:35.638000,0 days 00:00:22.277000,MEDIUM,1.0,1.0,,,13.0,False,1
LAW,30,Racing Bulls,1.0,0 days 00:01:33.774000,93.774,,0 days 00:00:36.797000,0 days 00:00:22.650000,SOFT,1.0,1.0,,,14.0,False,1
GAS,10,Alpine,1.0,0 days 00:01:34.307000,94.307,,0 days 00:00:36.049000,0 days 00:00:22.877000,MEDIUM,1.0,1.0,,,15.0,False,1
ALO,14,Aston Martin,1.0,0 days 00:01:34.649000,94.649,,0 days 00:00:36.540000,0 days 00:00:23.424000,SOFT,1.0,1.0,,,16.0,False,1
HUL,27,Kick Sauber,1.0,0 days 00:01:34.968000,94.968,,0 days 00:00:35.877000,0 days 00:00:23.380000,SOFT,1.0,1.0,,,17.0,False,1
ALB,23,Williams,1.0,0 days 00:01:35.288000,95.288,,0 days 00:00:35.644000,0 days 00:00:23.125000,HARD,1.0,1.0,,,18.0,False,1
STR,18,Aston Martin,1.0,0 days 00:01:38.448000,98.448,,0 days 00:00:40.530000,0 days 00:00:22.199000,SOFT,1.0,1.0,,,19.0,False,1
COL,43,Alpine,1.0,0 days 00:01:39.953000,99.953,,0 days 00:00:34.371000,0 days 00:00:21.992000,HARD,1.0,1.0,,,20.0,False,1
NOR,4,McLaren,2.0,0 days 00:01:23.146000,83.146,0 days 00:00:29.536000,0 days 00:00:32.172000,0 days 00:00:21.438000,SOFT,2.0,1.0,,,1.0,True,1
LEC,16,Ferrari,2.0,0 days 00:01:23.141000,83.141,0 days 00:00:29.322000,0 days 00:00:32.540000,0 days 00:00:21.279000,SOFT,2.0,1.0,,,2.0,True,1
HAM,44,Ferrari,2.0,0 days 00:01:23.366000,83.366,0 days 00:00:29.463000,0 days 00:00:32.508000,0 days 00:00:21.395000,SOFT,5.0,1.0,,,3.0,True,1
VER,1,Red Bull Racing,2.0,0 days 00:01:23.412000,83.412,0 days 00:00:29.364000,0 days 00:00:32.600000,0 days 00:00:21.448000,MEDIUM,2.0,1.0,,,4.0,True,1
RUS,63,Mercedes,2.0,0 days 00:01:23.407000,83.407,0 days 00:00:29.504000,0 days 00:00:32.349000,0 days 00:00:21.554000,SOFT,5.0,1.0,,,5.0,True,1
BEA,87,Haas F1 Team,2.0,0 days 00:01:23.597000,83.597,0 days 00:00:29.532000,0 days 00:00:32.613000,0 days 00:00:21.452000,SOFT,5.0,1.0,,,6.0,True,1
ANT,12,Mercedes,2.0,0 days 00:01:23.658000,83.658,0 days 00:00:29.539000,0 days 00:00:32.632000,0 days 00:00:21.487000,SOFT,5.0,1.0,,,7.0,True,1
TSU,22,Red Bull Racing,2.0,0 days 00:01:23.838000,83.838,0 days 00:00:29.505000,0 days 00:00:32.675000,0 days 00:00:21.658000,MEDIUM,2.0,1.0,,,8.0,True,1
PIA,81,McLaren,2.0,0 days 00:01:23.903000,83.903,0 days 00:00:29.570000,0 days 00:00:32.634000,0 days 00:00:21.699000,SOFT,5.0,1.0,,,9.0,True,1
