Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
VER,1,Red Bull Racing,1.0,0 days 00:01:35.669000,95.669,,0 days 00:00:34.681000,0 days 00:00:26.310000,nan,,,,,1.0,False,12
ANT,12,Mercedes,1.0,0 days 00:01:36.850000,96.85,,0 days 00:00:35.389000,0 days 00:00:26.219000,nan,,,,,2.0,False,12
PIA,81,McLaren,1.0,0 days 00:01:37.135000,97.135,,0 days 00:00:35.461000,0 days 00:00:26.010000,nan,,,,,3.0,False,12
RUS,63,Mercedes,1.0,0 days 00:01:38.178000,98.178,,0 days 00:00:35.704000,0 days 00:00:26.329000,nan,,,,,4.0,False,12
ALB,23,Williams,1.0,0 days 00:01:38.782000,98.782,,0 days 00:00:35.605000,0 days 00:00:26.293000,nan,,,,,5.0,False,12
NOR,4,McLaren,1.0,0 days 00:01:39.277000,99.277,,0 days 00:00:35.741000,0 days 00:00:26.186000,nan,,,,,6.0,False,12
SAI,55,Williams,1.0,0 days 00:01:39.731000,99.731,,0 days 00:00:35.616000,0 days 00:00:26.190000,nan,,,,,7.0,False,12
LEC,16,Ferrari,1.0,0 days 00:01:40.561000,100.561,,0 days 00:00:35.795000,0 days 00:00:26.379000,nan,,,,,8.0,False,12
TSU,22,Red Bull Racing,1.0,0 days 00:01:41.207000,101.207,,0 days 00:00:36.127000,0 days 00:00:26.369000,nan,,,,,9.0,False,12
OCO,31,Haas F1 Team,1.0,0 days 00:01:41.555000,101.555,,0 days 00:00:36.416000,0 days 00:00:26.190000,nan,,,,,10.0,False,12
HAD,6,Racing Bulls,1.0,0 days 00:01:42.125000,102.125,,0 days 00:00:36.707000,0 days 00:00:26.301000,nan,,,,,11.0,False,12
HAM,44,Ferrari,1.0,0 days 00:01:42.517000,102.517,,0 days 00:00:36.424000,0 days 00:00:26.318000,nan,,,,,12.0,False,12
BOR,5,Kick Sauber,1.0,0 days 00:01:43.084000,103.084,,0 days 00:00:37.110000,0 days 00:00:26.427000,nan,,,,,13.0,False,12
HUL,27,Kick Sauber,1.0,0 days 00:01:43.306000,103.306,,0 days 00:00:36.996000,0 days 00:00:26.299000,nan,,,,,14.0,False,12
STR,18,Aston Martin,1.0,0 days 00:01:43.734000,103.734,,0 days 00:00:37.280000,0 days 00:00:26.235000,nan,,,,,15.0,False,12
BEA,87,Haas F1 Team,1.0,0 days 00:01:44.650000,104.65,,0 days 00:00:37.559000,0 days 00:00:26.600000,nan,,,,,16.0,False,12
ALO,14,Aston Martin,1.0,0 days 00:01:44.913000,104.913,,0 days 00:00:37.633000,0 days 00:00:26.346000,nan,,,,,17.0,False,12
GAS,10,Alpine,1.0,0 days 00:01:45.474000,105.474,,0 days 00:00:37.740000,0 days 00:00:26.452000,nan,,,0 days 00:57:24.733000,,18.0,False,12
LAW,30,Racing Bulls,1.0,0 days 00:01:55.964000,115.964,,0 days 00:00:35.427000,0 days 00:00:26.007000,nan,,,,,19.0,False,12
