stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,NOR,McLaren,HARD,2.0,34.0,57.0,24,90.383,90.154,89.746
2,PIA,McLaren,HARD,2.0,34.0,57.0,24,90.638,90.288,89.822
3,VER,Red Bull Racing,HARD,2.0,34.0,57.0,24,90.803,90.774,90.466
4,RUS,Mercedes,MEDIUM,2.0,34.0,57.0,24,90.843,90.842,90.516
5,ALB,Williams,HARD,2.0,34.0,57.0,24,90.948,90.994,90.482
6,LEC,Ferrari,HARD,2.0,34.0,57.0,24,90.961,90.929,90.461
7,PIA,McLaren,MEDIUM,1.0,25.0,32.0,6,91.072,91.412,90.17
8,HAM,Ferrari,MEDIUM,2.0,34.0,57.0,24,91.077,90.996,90.562
9,SAI,Williams,HARD,2.0,34.0,57.0,24,91.111,91.13,90.703
10,NOR,McLaren,MEDIUM,1.0,25.0,32.0,6,91.153,91.365,90.375
11,ANT,Mercedes,HARD,2.0,34.0,57.0,24,91.156,91.079,90.807
12,TSU,Red Bull Racing,HARD,2.0,34.0,57.0,24,91.288,91.308,90.964
13,HUL,Kick Sauber,MEDIUM,2.0,38.0,56.0,19,91.355,91.203,91.015
14,GAS,Alpine,MEDIUM,2.0,34.0,57.0,24,91.659,91.53,91.159
15,RUS,Mercedes,HARD,1.0,25.0,32.0,6,91.743,92.092,90.318
16,HAM,Ferrari,HARD,1.0,24.0,32.0,7,91.945,92.503,90.62
17,PIA,McLaren,nan,,1.0,24.0,22,92.231,91.937,91.429
18,TSU,Red Bull Racing,MEDIUM,1.0,25.0,32.0,5,92.279,92.528,91.531
19,ALO,Aston Martin,MEDIUM,2.0,34.0,56.0,23,92.355,92.246,91.287
20,LEC,Ferrari,MEDIUM,1.0,25.0,32.0,6,92.518,92.434,91.641
21,NOR,McLaren,nan,,1.0,24.0,22,92.633,92.137,91.312
22,HAD,Racing Bulls,HARD,1.0,24.0,57.0,33,92.688,91.488,90.971
23,VER,Red Bull Racing,MEDIUM,1.0,25.0,32.0,5,92.768,91.899,91.025
24,ALB,Williams,MEDIUM,1.0,25.0,32.0,5,92.824,91.514,91.071
25,OCO,Haas F1 Team,HARD,1.0,25.0,57.0,32,92.9,91.656,91.122
26,ANT,Mercedes,MEDIUM,1.0,27.0,32.0,5,92.995,91.967,90.795
27,SAI,Williams,MEDIUM,1.0,27.0,32.0,5,93.041,91.597,91.198
28,RUS,Mercedes,nan,,1.0,24.0,22,93.124,92.824,92.432
29,LEC,Ferrari,nan,,1.0,24.0,22,93.367,93.048,92.509
30,BEA,Haas F1 Team,HARD,1.0,24.0,27.0,4,93.37,93.329,92.68
31,LAW,Racing Bulls,HARD,1.0,24.0,31.0,6,93.508,94.103,91.77
32,GAS,Alpine,nan,,4.0,23.0,20,93.54,93.459,92.798
33,HAM,Ferrari,nan,,1.0,23.0,21,93.665,93.328,92.412
34,HUL,Kick Sauber,HARD,1.0,24.0,35.0,10,93.686,92.971,92.441
35,VER,Red Bull Racing,nan,,1.0,24.0,23,93.751,92.595,92.083
36,OCO,Haas F1 Team,nan,,1.0,22.0,20,93.756,93.236,92.67
37,HAD,Racing Bulls,nan,,1.0,21.0,19,93.785,93.29,92.963
38,STR,Aston Martin,HARD,1.0,24.0,56.0,32,93.825,92.37,91.769
39,ANT,Mercedes,nan,,1.0,24.0,23,93.888,92.883,92.4
40,ALB,Williams,nan,,1.0,24.0,23,94.05,92.968,92.39
41,BEA,Haas F1 Team,nan,,1.0,23.0,21,94.127,93.626,92.971
42,STR,Aston Martin,nan,,1.0,23.0,19,94.141,93.678,92.538
43,ALO,Aston Martin,HARD,1.0,24.0,32.0,7,94.225,93.165,92.823
44,GAS,Alpine,HARD,1.0,24.0,31.0,7,94.248,92.853,92.523
45,ALO,Aston Martin,nan,,1.0,23.0,21,94.264,93.387,92.548
46,SAI,Williams,nan,,1.0,24.0,23,94.283,93.044,92.332
47,TSU,Red Bull Racing,nan,,1.0,24.0,23,94.475,93.15,92.673
48,HUL,Kick Sauber,nan,,1.0,23.0,22,95.048,93.556,92.881
49,BOR,Kick Sauber,nan,,1.0,23.0,20,95.116,93.493,92.328
50,LAW,Racing Bulls,nan,,1.0,23.0,21,95.366,94.433,93.315
51,BOR,Kick Sauber,HARD,1.0,24.0,30.0,6,98.91,93.218,92.42
52,LAW,Racing Bulls,MEDIUM,2.0,32.0,35.0,4,99.716,97.051,92.855
