Driver,DriverNumber,Team,LapNumber,LapTime,LapTimeSeconds,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,PitOutTime,PitInTime,Position,IsPersonalBest,TrackStatus
NOR,4,McLaren,1.0,0 days 00:01:23.340000,83.34,,0 days 00:00:37.264000,0 days 00:00:21.219000,MEDIUM,1.0,1.0,,,1.0,False,12
LEC,16,Ferrari,1.0,0 days 00:01:24.481000,84.481,,0 days 00:00:37.212000,0 days 00:00:21.765000,MEDIUM,1.0,1.0,,,2.0,False,12
PIA,81,McLaren,1.0,0 days 00:01:26.141000,86.141,,0 days 00:00:38.340000,0 days 00:00:21.619000,MEDIUM,1.0,1.0,,,3.0,False,12
VER,1,Red Bull Racing,1.0,0 days 00:01:27.020000,87.02,,0 days 00:00:38.394000,0 days 00:00:21.759000,HARD,1.0,1.0,,,4.0,False,12
HAD,6,Racing Bulls,1.0,0 days 00:01:27.567000,87.567,,0 days 00:00:38.756000,0 days 00:00:21.437000,MEDIUM,1.0,1.0,,,5.0,False,12
ALO,14,Aston Martin,1.0,0 days 00:01:28.332000,88.332,,0 days 00:00:38.958000,0 days 00:00:21.505000,HARD,2.0,1.0,,,6.0,False,12
HAM,44,Ferrari,1.0,0 days 00:01:29.406000,89.406,,0 days 00:00:39.263000,0 days 00:00:21.925000,HARD,1.0,1.0,,,7.0,False,12
OCO,31,Haas F1 Team,1.0,0 days 00:01:29.926000,89.926,,0 days 00:00:39.394000,0 days 00:00:21.910000,MEDIUM,1.0,1.0,,,8.0,False,12
LAW,30,Racing Bulls,1.0,0 days 00:01:30.523000,90.523,,0 days 00:00:39.544000,0 days 00:00:21.909000,MEDIUM,1.0,1.0,,,9.0,False,12
ALB,23,Williams,1.0,0 days 00:01:31.479000,91.479,,0 days 00:00:40.146000,0 days 00:00:22.030000,MEDIUM,5.0,1.0,,,10.0,False,12
SAI,55,Williams,1.0,0 days 00:01:32.413000,92.413,,0 days 00:00:40.273000,0 days 00:00:22.102000,HARD,1.0,1.0,,,11.0,False,12
HUL,27,Kick Sauber,1.0,0 days 00:01:32.788000,92.788,,0 days 00:00:40.324000,0 days 00:00:22.118000,MEDIUM,1.0,1.0,,,12.0,False,12
RUS,63,Mercedes,1.0,0 days 00:01:34.077000,94.077,,0 days 00:00:40.601000,0 days 00:00:22.289000,HARD,1.0,1.0,,,13.0,False,126
ANT,12,Mercedes,1.0,0 days 00:01:34.721000,94.721,,0 days 00:00:40.866000,0 days 00:00:22.426000,HARD,1.0,1.0,,,14.0,False,126
COL,43,Alpine,1.0,0 days 00:01:36.577000,96.577,,0 days 00:00:41.290000,0 days 00:00:22.860000,HARD,1.0,1.0,,,15.0,False,126
