pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,PIA,McLaren,81,50,85.23,85.01,82.996,2.254,0.0
2,NOR,McLaren,4,50,85.637,85.236,83.197,2.46,0.407
3,VER,Red Bull Racing,1,50,85.3,85.382,83.498,1.068,0.07
4,SAI,Williams,55,50,85.76,86.18,83.859,1.289,0.53
5,ALO,Aston Martin,14,50,86.347,86.344,83.94,1.309,1.117
6,ANT,Mercedes,12,50,85.81,86.395,83.955,1.387,0.58
7,STR,Aston Martin,18,45,86.781,86.479,83.484,1.434,1.551
8,RUS,Mercedes,63,50,86.237,86.635,83.198,1.436,1.007
9,HAD,Racing Bulls,6,47,86.396,86.641,84.317,1.314,1.166
10,LAW,Racing Bulls,30,50,86.487,86.912,83.971,1.473,1.257
11,LEC,Ferrari,16,50,86.438,86.952,84.432,1.38,1.208
12,HAM,Ferrari,44,50,86.848,87.129,84.848,1.205,1.618
13,TSU,Red Bull Racing,22,50,86.536,87.134,84.139,1.482,1.306
14,ALB,Williams,23,50,86.646,87.233,84.261,1.421,1.416
15,BOR,Kick Sauber,5,50,86.999,87.288,85.233,1.188,1.769
16,OCO,Haas F1 Team,31,48,87.023,87.366,85.056,1.159,1.793
17,GAS,Alpine,10,49,86.944,87.372,85.376,1.274,1.714
18,COL,Alpine,43,48,87.031,87.377,85.644,1.12,1.801
19,BEA,Haas F1 Team,87,33,87.503,87.548,84.93,1.694,2.273
20,HUL,Kick Sauber,27,6,89.415,88.382,88.139,2.49,4.185
