Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
ALB,Williams,7,8.0,HARD,MEDIUM
ALO,Aston Martin,7,8.0,MEDIUM,MEDIUM
ANT,Mercedes,7,8.0,MEDIUM,MEDIUM
BEA,Haas F1 Team,7,8.0,MEDIUM,MEDIUM
BOR,Kick Sauber,7,8.0,MEDIUM,MEDIUM
COL,Alpine,7,8.0,HARD,MEDIUM
GAS,Alpine,7,8.0,MEDIUM,HARD
HAD,Racing Bulls,7,8.0,MEDIUM,MEDIUM
HAM,Ferrari,7,8.0,SOFT,MEDIUM
LAW,Racing Bulls,7,8.0,MEDIUM,MEDIUM
LEC,Ferrari,7,8.0,MEDIUM,MEDIUM
RUS,Mercedes,7,8.0,MEDIUM,MEDIUM
SAI,Williams,7,8.0,MEDIUM,MEDIUM
STR,Aston Martin,7,8.0,MEDIUM,MEDIUM
TSU,Red Bull Racing,7,8.0,MEDIUM,MEDIUM
VER,Red Bull Racing,7,8.0,MEDIUM,MEDIUM
OCO,Haas F1 Team,8,10.0,MEDIUM,MEDIUM
PIA,McLaren,24,25.0,MEDIUM,MEDIUM
STR,Aston Martin,24,25.0,MEDIUM,MEDIUM
NOR,McLaren,25,26.0,MEDIUM,MEDIUM
ALB,Williams,32,33.0,MEDIUM,MEDIUM
ALO,Aston Martin,32,33.0,MEDIUM,HARD
ANT,Mercedes,32,33.0,MEDIUM,HARD
BEA,Haas F1 Team,32,33.0,MEDIUM,HARD
BOR,Kick Sauber,32,33.0,MEDIUM,SOFT
COL,Alpine,32,33.0,MEDIUM,MEDIUM
GAS,Alpine,32,33.0,HARD,MEDIUM
HAD,Racing Bulls,32,33.0,MEDIUM,HARD
HAM,Ferrari,32,33.0,MEDIUM,MEDIUM
LAW,Racing Bulls,32,33.0,MEDIUM,HARD
LEC,Ferrari,32,33.0,MEDIUM,HARD
RUS,Mercedes,32,33.0,MEDIUM,HARD
SAI,Williams,32,33.0,MEDIUM,HARD
TSU,Red Bull Racing,32,33.0,MEDIUM,HARD
VER,Red Bull Racing,32,33.0,MEDIUM,HARD
OCO,Haas F1 Team,34,35.0,MEDIUM,HARD
BEA,Haas F1 Team,40,41.0,HARD,HARD
BEA,Haas F1 Team,41,,HARD,
PIA,McLaren,42,43.0,MEDIUM,HARD
NOR,McLaren,44,45.0,MEDIUM,HARD
STR,Aston Martin,49,50.0,MEDIUM,SOFT
STR,Aston Martin,55,,SOFT,
