pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,PIA,McLaren,81,43,93.183,92.927,92.228,0.579,0.033
2,VER,Red Bull Racing,1,43,93.15,92.958,92.28,0.563,0.0
3,NOR,McLaren,4,43,93.29,93.335,91.778,0.992,0.14
4,LEC,Ferrari,16,43,93.334,93.393,92.192,0.876,0.184
5,HAM,Ferrari,44,43,93.923,93.72,92.6,0.886,0.773
6,ANT,Mercedes,12,43,93.826,93.78,92.396,0.67,0.676
7,RUS,Mercedes,63,43,93.769,93.853,92.893,0.53,0.619
8,ALB,Williams,23,43,94.457,94.185,93.477,0.699,1.307
9,SAI,Williams,55,43,94.415,94.338,92.466,0.688,1.265
10,HAD,Racing Bulls,6,43,94.546,94.595,93.257,0.797,1.396
11,ALO,Aston Martin,14,43,94.652,94.614,93.009,0.882,1.502
12,LAW,Racing Bulls,30,43,94.518,94.725,92.998,0.948,1.368
13,BEA,Haas F1 Team,87,43,94.708,94.728,93.238,0.912,1.558
14,HUL,Kick Sauber,27,42,95.208,95.472,93.446,0.999,2.058
15,STR,Aston Martin,18,42,95.218,95.494,92.745,0.938,2.068
16,OCO,Haas F1 Team,31,44,95.467,95.546,94.309,0.623,2.317
17,DOO,Alpine,7,41,95.429,95.78,93.15,1.106,2.279
18,BOR,Kick Sauber,5,43,95.828,95.81,94.447,0.812,2.678
