stint_rank,Driver,Team,Compound,Stint,from_lap,to_lap,laps,average_lap_seconds,median_lap_seconds,best_lap_seconds
1,NOR,McLaren,MEDIUM,2.0,36.0,50.0,15,92.16,92.143,91.778
2,LEC,Ferrari,HARD,2.0,31.0,50.0,20,92.472,92.428,92.192
3,VER,Red Bull Racing,HARD,2.0,24.0,50.0,27,92.757,92.736,92.28
4,PIA,McLaren,HARD,2.0,21.0,50.0,30,92.875,92.798,92.228
5,HAM,Ferrari,HARD,2.0,25.0,50.0,26,93.301,93.288,92.6
6,ANT,Mercedes,HARD,2.0,21.0,50.0,30,93.483,93.668,92.396
7,RUS,Mercedes,HARD,2.0,22.0,50.0,28,93.506,93.559,92.893
8,HAD,Racing Bulls,MEDIUM,2.0,36.0,50.0,15,93.662,93.634,93.257
9,STR,Aston Martin,MEDIUM,2.0,41.0,49.0,9,93.687,93.372,92.745
10,VER,Red Bull Racing,MEDIUM,1.0,4.0,19.0,16,93.814,93.822,93.511
11,PIA,McLaren,MEDIUM,1.0,4.0,18.0,13,93.894,93.917,93.418
12,NOR,McLaren,HARD,1.0,5.0,33.0,28,93.895,93.872,92.952
13,HUL,Kick Sauber,MEDIUM,2.0,35.0,48.0,14,93.936,94.078,93.446
14,ALB,Williams,HARD,2.0,24.0,50.0,27,93.982,93.918,93.477
15,LAW,Racing Bulls,HARD,2.0,22.0,50.0,28,94.004,93.898,92.998
16,SAI,Williams,HARD,2.0,23.0,50.0,28,94.025,93.946,92.466
17,LEC,Ferrari,MEDIUM,1.0,5.0,28.0,23,94.083,94.275,93.368
18,ALO,Aston Martin,HARD,2.0,21.0,50.0,29,94.181,94.39,93.009
19,RUS,Mercedes,MEDIUM,1.0,5.0,19.0,15,94.261,94.274,93.857
20,BEA,Haas F1 Team,HARD,2.0,20.0,50.0,31,94.307,94.332,93.238
21,DOO,Alpine,HARD,3.0,34.0,49.0,16,94.416,94.088,93.15
22,ANT,Mercedes,MEDIUM,1.0,5.0,17.0,13,94.617,94.593,94.386
23,HAM,Ferrari,MEDIUM,1.0,5.0,22.0,17,94.873,94.818,94.444
24,HAD,Racing Bulls,HARD,1.0,5.0,33.0,28,95.019,95.062,94.092
25,SAI,Williams,MEDIUM,1.0,6.0,20.0,15,95.144,95.139,94.69
26,ALB,Williams,MEDIUM,1.0,5.0,20.0,16,95.26,95.229,94.892
27,OCO,Haas F1 Team,HARD,2.0,6.0,49.0,44,95.467,95.546,94.309
28,LAW,Racing Bulls,MEDIUM,1.0,5.0,19.0,15,95.479,95.529,95.085
29,ALO,Aston Martin,MEDIUM,1.0,5.0,18.0,14,95.628,95.618,95.098
30,STR,Aston Martin,HARD,1.0,5.0,38.0,33,95.635,95.691,95.171
31,BEA,Haas F1 Team,MEDIUM,1.0,6.0,17.0,12,95.745,95.816,95.057
32,BOR,Kick Sauber,HARD,2.0,5.0,49.0,43,95.828,95.81,94.447
33,HUL,Kick Sauber,HARD,1.0,5.0,32.0,28,95.844,95.87,95.047
34,DOO,Alpine,HARD,2.0,5.0,30.0,25,96.078,96.055,95.407
