pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,57,96.639,96.448,95.649,0.669,0.06
2,HAM,Ferrari,44,55,96.856,96.448,93.808,1.473,0.277
3,RUS,Mercedes,63,57,96.579,96.485,95.676,0.532,0.0
4,PIA,McLaren,81,57,96.586,96.609,95.408,0.805,0.007
5,NOR,McLaren,4,57,96.664,96.67,95.555,0.68,0.085
6,ANT,Mercedes,12,57,97.028,96.842,95.303,0.751,0.449
7,LEC,Ferrari,16,57,97.208,97.1,95.983,0.85,0.629
8,ALO,Aston Martin,14,57,97.584,97.829,95.862,0.956,1.005
9,BEA,Haas F1 Team,87,57,97.995,98.23,96.201,1.125,1.416
10,TSU,Red Bull Racing,22,56,98.224,98.285,96.831,0.957,1.645
11,HAD,Racing Bulls,6,56,98.327,98.344,96.938,0.837,1.748
12,HUL,Kick Sauber,27,54,98.039,98.405,95.404,1.341,1.46
13,SAI,Williams,55,56,98.159,98.438,94.963,1.372,1.58
14,ALB,Williams,23,55,98.22,98.445,95.648,1.141,1.641
15,OCO,Haas F1 Team,31,56,98.762,98.572,96.646,0.91,2.183
16,GAS,Alpine,10,53,98.264,98.586,94.573,1.352,1.685
17,LAW,Racing Bulls,30,56,98.43,98.586,95.641,0.99,1.851
18,BOR,Kick Sauber,5,56,98.628,98.604,97.126,0.894,2.049
19,COL,Alpine,43,56,98.727,98.607,97.182,0.933,2.148
20,STR,Aston Martin,18,56,98.4,98.626,95.851,0.998,1.821
