pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,VER,Red Bull Racing,1,55,80.507,79.911,77.019,5.888,0.0
2,NOR,McLaren,4,57,80.62,80.016,76.187,5.856,0.113
3,LEC,Ferrari,16,57,80.973,80.085,77.259,5.534,0.466
4,PIA,McLaren,81,57,80.549,80.125,75.743,5.991,0.042
5,RUS,Mercedes,63,57,81.141,80.499,77.244,5.519,0.634
6,HAM,Ferrari,44,57,81.101,80.553,77.706,4.546,0.594
7,ANT,Mercedes,12,46,81.014,80.834,78.255,0.915,0.507
8,HAD,Racing Bulls,6,57,81.502,81.07,77.77,2.276,0.995
9,TSU,Red Bull Racing,22,54,81.234,81.352,77.998,1.215,0.727
10,LAW,Racing Bulls,30,58,81.951,81.481,79.424,2.347,1.444
11,HUL,Kick Sauber,27,57,81.881,81.554,77.575,3.184,1.374
12,SAI,Williams,55,57,81.657,81.579,79.317,1.585,1.15
13,ALO,Aston Martin,14,57,81.632,81.616,78.128,1.979,1.125
14,BOR,Kick Sauber,5,58,82.136,81.639,78.297,2.396,1.629
15,OCO,Haas F1 Team,31,58,82.186,81.652,78.624,2.581,1.679
16,GAS,Alpine,10,57,81.904,81.791,77.896,2.398,1.397
17,BEA,Haas F1 Team,87,57,81.819,81.87,78.907,1.608,1.312
18,ALB,Williams,23,21,82.016,81.96,80.508,0.787,1.509
19,COL,Alpine,43,57,82.267,82.541,78.353,1.634,1.76
