Driver,Team,pitInLap,pitOutLap,fromCompound,toCompound
PIA,McLaren,1,2,INTERMEDIATE,MEDIUM
BOR,Audi,2,3,INTERMEDIATE,SOFT
HUL,Audi,2,3,INTERMEDIATE,SOFT
NOR,McLaren,2,3,INTERMEDIATE,MEDIUM
PER,Cadillac,2,3,INTERMEDIATE,SOFT
SAI,Williams,2,3,INTERMEDIATE,MEDIUM
BOT,Cadillac,3,4,INTERMEDIATE,SOFT
BOT,Cadillac,9,10,SOFT,MEDIUM
PIA,McLaren,12,13,MEDIUM,MEDIUM
STR,Aston Martin,14,15,SOFT,SOFT
NOR,McLaren,15,16,MEDIUM,MEDIUM
PER,Cadillac,15,16,SOFT,MEDIUM
OCO,Haas F1 Team,16,17,SOFT,MEDIUM
BOR,Audi,18,19,SOFT,MEDIUM
ALO,Aston Martin,20,21,SOFT,SOFT
HUL,Audi,20,21,SOFT,MEDIUM
BOT,Cadillac,29,30,MEDIUM,SOFT
PER,Cadillac,29,30,MEDIUM,SOFT
BEA,Haas F1 Team,30,31,SOFT,MEDIUM
COL,Alpine,30,31,MEDIUM,HARD
GAS,Alpine,30,31,MEDIUM,HARD
LAW,Racing Bulls,30,31,MEDIUM,SOFT
OCO,Haas F1 Team,30,31,MEDIUM,SOFT
SAI,Williams,30,31,MEDIUM,MEDIUM
ANT,Mercedes,31,32,SOFT,MEDIUM
HAD,Red Bull Racing,31,32,SOFT,MEDIUM
HAM,Ferrari,31,32,SOFT,MEDIUM
LEC,Ferrari,31,32,SOFT,MEDIUM
VER,Red Bull Racing,31,32,SOFT,MEDIUM
BOT,Cadillac,49,50,SOFT,MEDIUM
STR,Aston Martin,49,50,SOFT,MEDIUM
PIA,McLaren,51,52,MEDIUM,SOFT
HAD,Red Bull Racing,52,53,MEDIUM,SOFT
HAD,Red Bull Racing,62,63,SOFT,SOFT
