pace_rank,Driver,Team,DriverNumber,clean_laps,average_lap_seconds,median_lap_seconds,best_lap_seconds,lap_time_std_seconds,gap_to_best_avg_seconds
1,ANT,Mercedes,12,51,94.435,92.586,91.968,8.25,0.0
2,NOR,McLaren,1,51,94.449,92.715,91.869,8.171,0.014
3,LEC,Ferrari,16,51,95.198,93.036,92.515,8.273,0.763
4,PIA,McLaren,81,52,95.778,93.392,91.949,10.105,1.343
5,RUS,Mercedes,63,52,96.094,93.556,92.446,9.958,1.659
6,VER,Red Bull Racing,3,52,94.902,93.64,93.11,6.513,0.467
7,HAM,Ferrari,44,52,96.297,93.766,92.676,9.923,1.862
8,COL,Alpine,43,52,96.466,94.0,93.035,9.826,2.031
9,SAI,Williams,55,52,96.935,94.278,93.026,9.556,2.5
10,ALB,Williams,23,52,97.102,94.436,93.784,9.538,2.667
11,BEA,Haas F1 Team,87,51,97.375,94.753,93.744,9.626,2.94
12,BOR,Audi,5,51,97.538,94.996,93.5,9.79,3.103
13,OCO,Haas F1 Team,31,51,97.493,95.011,93.712,9.609,3.058
14,HAD,Red Bull Racing,6,3,95.363,95.188,94.833,0.636,0.928
15,GAS,Alpine,10,4,97.68,95.311,94.856,5.051,3.245
16,LIN,Racing Bulls,41,51,98.142,95.655,94.058,9.553,3.707
17,STR,Aston Martin,18,49,98.655,95.921,94.716,9.616,4.22
18,ALO,Aston Martin,14,51,98.79,96.394,93.512,9.254,4.355
19,PER,Cadillac,11,51,98.778,96.436,94.895,9.276,4.343
20,LAW,Racing Bulls,30,5,102.554,97.079,94.814,11.793,8.119
21,BOT,Cadillac,77,46,98.991,97.664,96.08,6.193,4.556
22,HUL,Audi,27,4,108.523,102.208,94.523,19.067,14.088
