circuit_id,circuit_name,circuit_url,country,date,event_id,event_name,event_slug,latitude,locality,longitude,round,season,time,url,year
jacarepagua,Autódromo Internacional Nelson Piquet,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Internacional_Nelson_Piquet,Brazil,1989-03-26,1989-rio-de-janeiro,Brazilian Grand Prix,rio-de-janeiro,-22.9756,Rio de Janeiro,-43.395,1,1989,,https://en.wikipedia.org/wiki/1989_Brazilian_Grand_Prix,1989
imola,Autodromo Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit,Italy,1989-04-23,1989-imola,San Marino Grand Prix,imola,44.3439,Imola,11.7167,2,1989,,https://en.wikipedia.org/wiki/1989_San_Marino_Grand_Prix,1989
monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monaco,1989-05-07,1989-monte-carlo,Monaco Grand Prix,monte-carlo,43.7347,Monte Carlo,7.42056,3,1989,,https://en.wikipedia.org/wiki/1989_Monaco_Grand_Prix,1989
rodriguez,Autódromo Hermanos Rodríguez,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Mexico,1989-05-28,1989-mexico-city,Mexican Grand Prix,mexico-city,19.4042,Mexico City,-99.0907,4,1989,,https://en.wikipedia.org/wiki/1989_Mexican_Grand_Prix,1989
phoenix,Phoenix street circuit,https://en.wikipedia.org/wiki/Phoenix_street_circuit,USA,1989-06-04,1989-phoenix,United States Grand Prix,phoenix,33.4479,Phoenix,-112.075,5,1989,,https://en.wikipedia.org/wiki/1989_United_States_Grand_Prix,1989
villeneuve,Circuit Gilles Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Canada,1989-06-18,1989-montreal,Canadian Grand Prix,montreal,45.5,Montreal,-73.5228,6,1989,,https://en.wikipedia.org/wiki/1989_Canadian_Grand_Prix,1989
ricard,Circuit Paul Ricard,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,France,1989-07-09,1989-le-castellet,French Grand Prix,le-castellet,43.2506,Le Castellet,5.79167,7,1989,,https://en.wikipedia.org/wiki/1989_French_Grand_Prix,1989
silverstone,Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,UK,1989-07-16,1989-silverstone,British Grand Prix,silverstone,52.0786,Silverstone,-1.01694,8,1989,,https://en.wikipedia.org/wiki/1989_British_Grand_Prix,1989
hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Germany,1989-07-30,1989-hockenheim,German Grand Prix,hockenheim,49.3278,Hockenheim,8.56583,9,1989,,https://en.wikipedia.org/wiki/1989_German_Grand_Prix,1989
hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Hungary,1989-08-13,1989-budapest,Hungarian Grand Prix,budapest,47.5789,Budapest,19.2486,10,1989,,https://en.wikipedia.org/wiki/1989_Hungarian_Grand_Prix,1989
spa,Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Belgium,1989-08-27,1989-spa,Belgian Grand Prix,spa,50.4372,Spa,5.97139,11,1989,,https://en.wikipedia.org/wiki/1989_Belgian_Grand_Prix,1989
monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Monza_Circuit,Italy,1989-09-10,1989-monza,Italian Grand Prix,monza,45.6156,Monza,9.28111,12,1989,,https://en.wikipedia.org/wiki/1989_Italian_Grand_Prix,1989
estoril,Autódromo do Estoril,https://en.wikipedia.org/wiki/Circuito_do_Estoril,Portugal,1989-09-24,1989-estoril,Portuguese Grand Prix,estoril,38.7506,Estoril,-9.39417,13,1989,,https://en.wikipedia.org/wiki/1989_Portuguese_Grand_Prix,1989
jerez,Circuito de Jerez,https://en.wikipedia.org/wiki/Circuito_de_Jerez,Spain,1989-10-01,1989-jerez-de-la-frontera,Spanish Grand Prix,jerez-de-la-frontera,36.7083,Jerez de la Frontera,-6.03417,14,1989,,https://en.wikipedia.org/wiki/1989_Spanish_Grand_Prix,1989
suzuka,Suzuka Circuit,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Japan,1989-10-22,1989-suzuka,Japanese Grand Prix,suzuka,34.8431,Suzuka,136.541,15,1989,,https://en.wikipedia.org/wiki/1989_Japanese_Grand_Prix,1989
adelaide,Adelaide Street Circuit,https://en.wikipedia.org/wiki/Adelaide_Street_Circuit,Australia,1989-11-05,1989-adelaide,Australian Grand Prix,adelaide,-34.9272,Adelaide,138.617,16,1989,,https://en.wikipedia.org/wiki/1989_Australian_Grand_Prix,1989
