constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,fastest_lap_average_speed,fastest_lap_average_speed_units,fastest_lap_lap,fastest_lap_rank,fastest_lap_time,grid_position,laps,milliseconds,points,position,position_text,round,status,time,year
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,3,2000-melbourne,Australian Grand Prix,,,,,,3,58,5641987,10.0,1,1,1,Finished,1:34:01.987,2000
Ferrari,ferrari,Italian,BAR,barrichello,Rubens Barrichello,Brazilian,4,2000-melbourne,Australian Grand Prix,,,,,,4,58,5653402,6.0,2,2,1,Finished,+11.415,2000
Williams,williams,British,SCH,ralf_schumacher,Ralf Schumacher,German,9,2000-melbourne,Australian Grand Prix,,,,,,11,58,5661996,4.0,3,3,1,Finished,+20.009,2000
BAR,bar,British,VIL,villeneuve,Jacques Villeneuve,Canadian,22,2000-melbourne,Australian Grand Prix,,,,,,8,58,5686434,3.0,4,4,1,Finished,+44.447,2000
Benetton,benetton,Italian,FIS,fisichella,Giancarlo Fisichella,Italian,11,2000-melbourne,Australian Grand Prix,,,,,,9,58,5687152,2.0,5,5,1,Finished,+45.165,2000
BAR,bar,British,ZON,zonta,Ricardo Zonta,Brazilian,23,2000-melbourne,Australian Grand Prix,,,,,,16,58,5688455,1.0,6,6,1,Finished,+46.468,2000
Benetton,benetton,Italian,WUR,wurz,Alexander Wurz,Austrian,12,2000-melbourne,Australian Grand Prix,,,,,,14,58,5688902,0.0,7,7,1,Finished,+46.915,2000
Minardi,minardi,Italian,,gene,Marc Gené,Spanish,20,2000-melbourne,Australian Grand Prix,,,,,,18,57,,0.0,8,8,1,+1 Lap,,2000
Prost,prost,French,HEI,heidfeld,Nick Heidfeld,German,15,2000-melbourne,Australian Grand Prix,,,,,,15,56,,0.0,9,9,1,+2 Laps,,2000
Sauber,sauber,Swiss,,salo,Mika Salo,Finnish,17,2000-melbourne,Australian Grand Prix,,,,,,10,58,,0.0,10,D,1,Disqualified,,2000
Williams,williams,British,BUT,button,Jenson Button,British,22,2000-melbourne,Australian Grand Prix,,,,,,21,46,,0.0,11,R,1,Engine,,2000
Sauber,sauber,Swiss,,diniz,Pedro Diniz,Brazilian,16,2000-melbourne,Australian Grand Prix,,,,,,19,41,,0.0,12,R,1,Transmission,,2000
Minardi,minardi,Italian,,mazzacane,Gastón Mazzacane,Argentine,21,2000-melbourne,Australian Grand Prix,,,,,,22,40,,0.0,13,R,1,Gearbox,,2000
Jordan,jordan,Irish,,frentzen,Heinz-Harald Frentzen,German,5,2000-melbourne,Australian Grand Prix,,,,,,5,39,,0.0,14,R,1,Hydraulics,,2000
Jordan,jordan,Irish,TRU,trulli,Jarno Trulli,Italian,6,2000-melbourne,Australian Grand Prix,,,,,,6,35,,0.0,15,R,1,Engine,,2000
Prost,prost,French,,alesi,Jean Alesi,French,14,2000-melbourne,Australian Grand Prix,,,,,,17,27,,0.0,16,R,1,Hydraulics,,2000
McLaren,mclaren,British,,hakkinen,Mika Häkkinen,Finnish,1,2000-melbourne,Australian Grand Prix,,,,,,1,18,,0.0,17,R,1,Engine,,2000
Arrows,arrows,British,,verstappen,Jos Verstappen,Dutch,19,2000-melbourne,Australian Grand Prix,,,,,,13,16,,0.0,18,R,1,Suspension,,2000
McLaren,mclaren,British,COU,coulthard,David Coulthard,British,2,2000-melbourne,Australian Grand Prix,,,,,,2,11,,0.0,19,R,1,Engine,,2000
Arrows,arrows,British,DLR,rosa,Pedro de la Rosa,Spanish,18,2000-melbourne,Australian Grand Prix,,,,,,12,6,,0.0,20,R,1,Suspension,,2000
Jaguar,jaguar,British,,irvine,Eddie Irvine,British,7,2000-melbourne,Australian Grand Prix,,,,,,7,6,,0.0,21,R,1,Spun off,,2000
Jaguar,jaguar,British,,herbert,Johnny Herbert,British,8,2000-melbourne,Australian Grand Prix,,,,,,20,1,,0.0,22,R,1,Clutch,,2000
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,3,2000-s-o-paulo,Brazilian Grand Prix,,,,,,3,71,5495271,10.0,1,1,2,Finished,1:31:35.271,2000
Benetton,benetton,Italian,FIS,fisichella,Giancarlo Fisichella,Italian,11,2000-s-o-paulo,Brazilian Grand Prix,,,,,,5,71,5535169,6.0,2,2,2,Finished,+39.898,2000
Jordan,jordan,Irish,,frentzen,Heinz-Harald Frentzen,German,5,2000-s-o-paulo,Brazilian Grand Prix,,,,,,7,71,5537539,4.0,3,3,2,Finished,+42.268,2000
Jordan,jordan,Irish,TRU,trulli,Jarno Trulli,Italian,6,2000-s-o-paulo,Brazilian Grand Prix,,,,,,12,71,5568051,3.0,4,4,2,Finished,+1:12.780,2000
Williams,williams,British,SCH,ralf_schumacher,Ralf Schumacher,German,9,2000-s-o-paulo,Brazilian Grand Prix,,,,,,11,70,,2.0,5,5,2,+1 Lap,,2000
Williams,williams,British,BUT,button,Jenson Button,British,22,2000-s-o-paulo,Brazilian Grand Prix,,,,,,9,70,,1.0,6,6,2,+1 Lap,,2000
Arrows,arrows,British,,verstappen,Jos Verstappen,Dutch,19,2000-s-o-paulo,Brazilian Grand Prix,,,,,,14,70,,0.0,7,7,2,+1 Lap,,2000
