constructor,constructor_id,constructor_nationality,driver_code,driver_id,driver_name,driver_nationality,driver_number,event_id,event_name,position,q1,q2,q3,round,year
Ferrari,ferrari,Italian,MSC,michael_schumacher,Michael Schumacher,German,1,2002-kuala-lumpur,Malaysian Grand Prix,1,1:35.266,,,2,2002
Williams,williams,British,MON,montoya,Juan Pablo Montoya,Colombian,6,2002-kuala-lumpur,Malaysian Grand Prix,2,1:35.497,,,2,2002
Ferrari,ferrari,Italian,BAR,barrichello,Rubens Barrichello,Brazilian,2,2002-kuala-lumpur,Malaysian Grand Prix,3,1:35.891,,,2,2002
Williams,williams,British,SCH,ralf_schumacher,Ralf Schumacher,German,5,2002-kuala-lumpur,Malaysian Grand Prix,4,1:36.028,,,2,2002
McLaren,mclaren,British,RAI,raikkonen,Kimi Räikkönen,Finnish,7,2002-kuala-lumpur,Malaysian Grand Prix,5,1:36.468,,,2,2002
McLaren,mclaren,British,COU,coulthard,David Coulthard,British,3,2002-kuala-lumpur,Malaysian Grand Prix,6,1:36.477,,,2,2002
Sauber,sauber,Swiss,HEI,heidfeld,Nick Heidfeld,German,7,2002-kuala-lumpur,Malaysian Grand Prix,7,1:37.199,,,2,2002
Renault,renault,French,BUT,button,Jenson Button,British,22,2002-kuala-lumpur,Malaysian Grand Prix,8,1:37.245,,,2,2002
Jordan,jordan,Irish,FIS,fisichella,Giancarlo Fisichella,Italian,9,2002-kuala-lumpur,Malaysian Grand Prix,9,1:37.536,,,2,2002
Toyota,toyota,Japanese,,salo,Mika Salo,Finnish,24,2002-kuala-lumpur,Malaysian Grand Prix,10,1:37.694,,,2,2002
Arrows,arrows,British,,frentzen,Heinz-Harald Frentzen,German,20,2002-kuala-lumpur,Malaysian Grand Prix,11,1:37.919,,,2,2002
Renault,renault,French,TRU,trulli,Jarno Trulli,Italian,14,2002-kuala-lumpur,Malaysian Grand Prix,12,1:37.920,,,2,2002
BAR,bar,British,VIL,villeneuve,Jacques Villeneuve,Canadian,11,2002-kuala-lumpur,Malaysian Grand Prix,13,1:38.039,,,2,2002
Sauber,sauber,Swiss,MAS,massa,Felipe Massa,Brazilian,19,2002-kuala-lumpur,Malaysian Grand Prix,14,1:38.057,,,2,2002
Jordan,jordan,Irish,SAT,sato,Takuma Sato,Japanese,10,2002-kuala-lumpur,Malaysian Grand Prix,15,1:38.141,,,2,2002
Arrows,arrows,British,,bernoldi,Enrique Bernoldi,Brazilian,21,2002-kuala-lumpur,Malaysian Grand Prix,16,1:38.284,,,2,2002
Jaguar,jaguar,British,DLR,rosa,Pedro de la Rosa,Spanish,17,2002-kuala-lumpur,Malaysian Grand Prix,17,1:38.374,,,2,2002
