year,round,event_id,event_name,driver,driver_number,driver_name,team,position,q1,q2,q3
2010,1,2010-sakhir,Bahrain Grand Prix,VET,5,Sebastian Vettel,Red Bull,1,0 days 00:01:55.029000,0 days 00:01:53.883000,0 days 00:01:54.101000
2010,1,2010-sakhir,Bahrain Grand Prix,MAS,7,Felipe Massa,Ferrari,2,0 days 00:01:55.313000,0 days 00:01:54.331000,0 days 00:01:54.242000
2010,1,2010-sakhir,Bahrain Grand Prix,ALO,8,Fernando Alonso,Ferrari,3,0 days 00:01:54.612000,0 days 00:01:54.172000,0 days 00:01:54.608000
2010,1,2010-sakhir,Bahrain Grand Prix,HAM,2,Lewis Hamilton,McLaren,4,0 days 00:01:55.341000,0 days 00:01:54.707000,0 days 00:01:55.217000
2010,1,2010-sakhir,Bahrain Grand Prix,ROS,4,Nico Rosberg,Mercedes,5,0 days 00:01:55.463000,0 days 00:01:54.682000,0 days 00:01:55.241000
2010,1,2010-sakhir,Bahrain Grand Prix,WEB,6,Mark Webber,Red Bull,6,0 days 00:01:55.298000,0 days 00:01:54.318000,0 days 00:01:55.284000
2010,1,2010-sakhir,Bahrain Grand Prix,MSC,3,Michael Schumacher,Mercedes,7,0 days 00:01:55.593000,0 days 00:01:55.105000,0 days 00:01:55.524000
2010,1,2010-sakhir,Bahrain Grand Prix,BUT,1,Jenson Button,McLaren,8,0 days 00:01:55.715000,0 days 00:01:55.168000,0 days 00:01:55.672000
2010,1,2010-sakhir,Bahrain Grand Prix,KUB,11,Robert Kubica,Renault,9,0 days 00:01:55.511000,0 days 00:01:54.963000,0 days 00:01:55.885000
2010,1,2010-sakhir,Bahrain Grand Prix,SUT,14,Adrian Sutil,Force India,10,0 days 00:01:55.213000,0 days 00:01:54.996000,0 days 00:01:56.309000
2010,1,2010-sakhir,Bahrain Grand Prix,BAR,9,Rubens Barrichello,Williams,11,0 days 00:01:55.969000,0 days 00:01:55.330000,
2010,1,2010-sakhir,Bahrain Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,12,0 days 00:01:55.628000,0 days 00:01:55.623000,
2010,1,2010-sakhir,Bahrain Grand Prix,HUL,10,Nico Hülkenberg,Williams,13,0 days 00:01:56.375000,0 days 00:01:55.857000,
2010,1,2010-sakhir,Bahrain Grand Prix,DLR,22,Pedro de la Rosa,Sauber,14,0 days 00:01:56.428000,0 days 00:01:56.237000,
2010,1,2010-sakhir,Bahrain Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,15,0 days 00:01:56.189000,0 days 00:01:56.265000,
2010,1,2010-sakhir,Bahrain Grand Prix,KOB,23,Kamui Kobayashi,Sauber,16,0 days 00:01:56.541000,0 days 00:01:56.270000,
2010,1,2010-sakhir,Bahrain Grand Prix,PET,12,Vitaly Petrov,Renault,17,0 days 00:01:56.167000,0 days 00:01:56.619000,
2010,1,2010-sakhir,Bahrain Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,18,0 days 00:01:57.071000,,
2010,1,2010-sakhir,Bahrain Grand Prix,GLO,24,Timo Glock,Virgin,19,0 days 00:01:59.728000,,
2010,1,2010-sakhir,Bahrain Grand Prix,TRU,18,Jarno Trulli,Lotus,20,0 days 00:01:59.852000,,
2010,1,2010-sakhir,Bahrain Grand Prix,KOV,19,Heikki Kovalainen,Lotus,21,0 days 00:02:00.313000,,
2010,1,2010-sakhir,Bahrain Grand Prix,DIG,25,Lucas di Grassi,Virgin,22,0 days 00:02:00.587000,,
2010,1,2010-sakhir,Bahrain Grand Prix,SEN,21,Bruno Senna,HRT,23,0 days 00:02:03.204000,,
2010,1,2010-sakhir,Bahrain Grand Prix,CHA,20,Karun Chandhok,HRT,24,0 days 00:02:04.904000,,
2010,2,2010-melbourne,Australian Grand Prix,VET,5,Sebastian Vettel,Red Bull,1,0 days 00:01:24.774000,0 days 00:01:24.096000,0 days 00:01:23.919000
2010,2,2010-melbourne,Australian Grand Prix,WEB,6,Mark Webber,Red Bull,2,0 days 00:01:25.286000,0 days 00:01:24.276000,0 days 00:01:24.035000
2010,2,2010-melbourne,Australian Grand Prix,ALO,8,Fernando Alonso,Ferrari,3,0 days 00:01:25.082000,0 days 00:01:24.335000,0 days 00:01:24.111000
2010,2,2010-melbourne,Australian Grand Prix,BUT,1,Jenson Button,McLaren,4,0 days 00:01:24.897000,0 days 00:01:24.531000,0 days 00:01:24.675000
2010,2,2010-melbourne,Australian Grand Prix,MAS,7,Felipe Massa,Ferrari,5,0 days 00:01:25.548000,0 days 00:01:25.010000,0 days 00:01:24.837000
2010,2,2010-melbourne,Australian Grand Prix,ROS,4,Nico Rosberg,Mercedes,6,0 days 00:01:24.788000,0 days 00:01:24.788000,0 days 00:01:24.884000
2010,2,2010-melbourne,Australian Grand Prix,MSC,3,Michael Schumacher,Mercedes,7,0 days 00:01:25.351000,0 days 00:01:24.871000,0 days 00:01:24.927000
2010,2,2010-melbourne,Australian Grand Prix,BAR,9,Rubens Barrichello,Williams,8,0 days 00:01:25.702000,0 days 00:01:25.085000,0 days 00:01:25.217000
2010,2,2010-melbourne,Australian Grand Prix,KUB,11,Robert Kubica,Renault,9,0 days 00:01:25.588000,0 days 00:01:25.122000,0 days 00:01:25.372000
2010,2,2010-melbourne,Australian Grand Prix,SUT,14,Adrian Sutil,Force India,10,0 days 00:01:25.504000,0 days 00:01:25.046000,0 days 00:01:26.036000
2010,2,2010-melbourne,Australian Grand Prix,HAM,2,Lewis Hamilton,McLaren,11,0 days 00:01:25.046000,0 days 00:01:25.184000,
2010,2,2010-melbourne,Australian Grand Prix,BUE,16,Sébastien Buemi,Toro Rosso,12,0 days 00:01:26.061000,0 days 00:01:25.638000,
2010,2,2010-melbourne,Australian Grand Prix,LIU,15,Vitantonio Liuzzi,Force India,13,0 days 00:01:26.170000,0 days 00:01:25.743000,
2010,2,2010-melbourne,Australian Grand Prix,DLR,22,Pedro de la Rosa,Sauber,14,0 days 00:01:26.089000,0 days 00:01:25.747000,
2010,2,2010-melbourne,Australian Grand Prix,HUL,10,Nico Hülkenberg,Williams,15,0 days 00:01:25.866000,0 days 00:01:25.748000,
2010,2,2010-melbourne,Australian Grand Prix,KOB,23,Kamui Kobayashi,Sauber,16,0 days 00:01:26.251000,0 days 00:01:25.777000,
2010,2,2010-melbourne,Australian Grand Prix,ALG,17,Jaime Alguersuari,Toro Rosso,17,0 days 00:01:26.095000,0 days 00:01:26.089000,
2010,2,2010-melbourne,Australian Grand Prix,PET,12,Vitaly Petrov,Renault,18,0 days 00:01:26.471000,,
2010,2,2010-melbourne,Australian Grand Prix,KOV,19,Heikki Kovalainen,Lotus,19,0 days 00:01:28.797000,,
2010,2,2010-melbourne,Australian Grand Prix,TRU,18,Jarno Trulli,Lotus,20,0 days 00:01:29.111000,,
2010,2,2010-melbourne,Australian Grand Prix,GLO,24,Timo Glock,Virgin,21,0 days 00:01:29.592000,,
2010,2,2010-melbourne,Australian Grand Prix,DIG,25,Lucas di Grassi,Virgin,22,0 days 00:01:30.185000,,
2010,2,2010-melbourne,Australian Grand Prix,SEN,21,Bruno Senna,HRT,23,0 days 00:01:30.526000,,
2010,2,2010-melbourne,Australian Grand Prix,CHA,20,Karun Chandhok,HRT,24,0 days 00:01:30.613000,,
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,WEB,6,Mark Webber,Red Bull,1,0 days 00:01:51.886000,0 days 00:01:48.210000,0 days 00:01:49.327000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,ROS,4,Nico Rosberg,Mercedes,2,0 days 00:01:52.560000,0 days 00:01:47.417000,0 days 00:01:50.673000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,VET,5,Sebastian Vettel,Red Bull,3,0 days 00:01:47.632000,0 days 00:01:46.828000,0 days 00:01:50.789000
2010,3,2010-kuala-lumpur,Malaysian Grand Prix,SUT,14,Adrian Sutil,Force India,4,0 days 00:01:49.479000,0 days 00:01:47.085000,0 days 00:01:50.914000
